date,state,fips,cases,deaths
25/05/2020,Alabama,1,14986,566
24/05/2020,Alabama,1,14478,551
23/05/2020,Alabama,1,14149,549
22/05/2020,Alabama,1,13670,541
21/05/2020,Alabama,1,13414,529
20/05/2020,Alabama,1,13052,522
19/05/2020,Alabama,1,12376,504
18/05/2020,Alabama,1,12086,489
17/05/2020,Alabama,1,11771,488
16/05/2020,Alabama,1,11674,485
15/05/2020,Alabama,1,11373,483
14/05/2020,Alabama,1,11101,473
13/05/2020,Alabama,1,10700,450
12/05/2020,Alabama,1,10464,435
11/05/2020,Alabama,1,10164,403
10/05/2020,Alabama,1,9889,393
9/05/2020,Alabama,1,9668,390
8/05/2020,Alabama,1,9385,383
7/05/2020,Alabama,1,9046,369
6/05/2020,Alabama,1,8691,343
5/05/2020,Alabama,1,8437,315
4/05/2020,Alabama,1,8112,298
3/05/2020,Alabama,1,7888,290
2/05/2020,Alabama,1,7611,288
1/05/2020,Alabama,1,7294,289
30/04/2020,Alabama,1,7068,272
29/04/2020,Alabama,1,6925,262
28/04/2020,Alabama,1,6750,242
27/04/2020,Alabama,1,6539,228
26/04/2020,Alabama,1,6421,219
25/04/2020,Alabama,1,6213,213
24/04/2020,Alabama,1,6026,209
23/04/2020,Alabama,1,5832,207
22/04/2020,Alabama,1,5610,201
21/04/2020,Alabama,1,5327,186
20/04/2020,Alabama,1,5078,164
19/04/2020,Alabama,1,4903,160
18/04/2020,Alabama,1,4723,147
17/04/2020,Alabama,1,4572,151
16/04/2020,Alabama,1,4404,137
15/04/2020,Alabama,1,4241,123
14/04/2020,Alabama,1,3953,114
13/04/2020,Alabama,1,3805,104
12/04/2020,Alabama,1,3583,93
11/04/2020,Alabama,1,3262,93
10/04/2020,Alabama,1,3008,80
9/04/2020,Alabama,1,2838,78
8/04/2020,Alabama,1,2498,67
7/04/2020,Alabama,1,2197,64
6/04/2020,Alabama,1,2005,53
5/04/2020,Alabama,1,1840,45
4/04/2020,Alabama,1,1632,44
3/04/2020,Alabama,1,1535,38
2/04/2020,Alabama,1,1270,32
1/04/2020,Alabama,1,1106,28
31/03/2020,Alabama,1,999,13
30/03/2020,Alabama,1,947,11
29/03/2020,Alabama,1,830,5
28/03/2020,Alabama,1,720,4
27/03/2020,Alabama,1,639,4
26/03/2020,Alabama,1,538,3
25/03/2020,Alabama,1,386,1
